pH,a*,b*
1,4.807,0.704
1,4.689,0.764
1,4.573,0.826
1,4.455,0.889
1,4.336,0.954
1,4.215,1.02
1,4.092,1.088
1,3.966,1.158
1,3.839,1.231
1,3.708,1.305
1,3.575,1.381
1,3.438,1.46
1,3.298,1.542
1,3.154,1.627
1,3.006,1.715
1,2.853,1.807
1,2.695,1.904
1,2.531,2.005
1,2.361,2.113
1,2.183,2.227
1,1.996,2.351
1.5,4.64,-0.004
1.5,4.508,0.091
1.5,4.379,0.19
1.5,4.249,0.29
1.5,4.118,0.392
1.5,3.985,0.497
1.5,3.851,0.604
1.5,3.714,0.713
1.5,3.576,0.824
1.5,3.435,0.938
1.5,3.291,1.056
1.5,3.144,1.177
1.5,2.993,1.301
1.5,2.839,1.43
1.5,2.681,1.563
1.5,2.518,1.702
1.5,2.349,1.847
1.5,2.175,2
1.5,1.994,2.162
1.5,1.805,2.335
1.5,1.606,2.524
2,2.958,0.171
2,2.861,0.346
2,2.776,0.515
2,2.697,0.678
2,2.621,0.835
2,2.548,0.987
2,2.479,1.134
2,2.411,1.278
2,2.346,1.418
2,2.283,1.556
2,2.222,1.69
2,2.162,1.822
2,2.103,1.952
2,2.046,2.081
2,1.99,2.207
2,1.935,2.332
2,1.88,2.456
2,1.827,2.578
2,1.775,2.7
2,1.723,2.821
2,1.672,2.942
2.5,2.958,0.171
2.5,2.861,0.393
2.5,2.777,0.602
2.5,2.699,0.801
2.5,2.628,0.991
2.5,2.56,1.172
2.5,2.497,1.347
2.5,2.436,1.516
2.5,2.378,1.68
2.5,2.323,1.84
2.5,2.27,1.995
2.5,2.218,2.147
2.5,2.169,2.295
2.5,2.121,2.441
2.5,2.075,2.584
2.5,2.029,2.725
2.5,1.986,2.864
2.5,1.943,3.002
2.5,1.901,3.138
2.5,1.86,3.273
2.5,1.821,3.406
3,4.316,-1.043
3,4.201,-0.82
3,4.088,-0.598
3,3.977,-0.377
3,3.866,-0.157
3,3.756,0.063
3,3.646,0.283
3,3.536,0.504
3,3.425,0.725
3,3.315,0.949
3,3.204,1.174
3,3.092,1.403
3,2.979,1.634
3,2.865,1.87
3,2.75,2.112
3,2.634,2.36
3,2.515,2.616
3,2.395,2.884
3,2.272,3.167
3,2.146,3.471
3,2.019,3.811
3.5,4.492,-1.246
3.5,4.377,-1.016
3.5,4.263,-0.787
3.5,4.15,-0.558
3.5,4.036,-0.328
3.5,3.923,-0.098
3.5,3.81,0.133
3.5,3.697,0.366
3.5,3.583,0.6
3.5,3.468,0.837
3.5,3.353,1.078
3.5,3.236,1.322
3.5,3.119,1.571
3.5,3,1.825
3.5,2.88,2.087
3.5,2.758,2.357
3.5,2.634,2.638
3.5,2.508,2.933
3.5,2.38,3.248
3.5,2.251,3.591
3.5,2.123,3.983
4,3.744,-1.471
4,3.65,-1.21
4,3.56,-0.952
4,3.471,-0.697
4,3.384,-0.444
4,3.299,-0.193
4,3.215,0.058
