lambda,Absorbance
360,0.13144
361,0.13438
362,0.13633
363,0.13764
364,0.13764
365,0.13633
366,0.13372
367,0.13112
368,0.12851
369,0.12622
370,0.12459
371,0.12459
372,0.12557
373,0.12851
374,0.13307
375,0.13862
376,0.14481
377,0.15068
378,0.1559
379,0.15982
380,0.1621
381,0.16177
382,0.15819
383,0.15166
384,0.14188
385,0.13014
386,0.11709
387,0.10404
388,0.092303
389,0.082192
390,0.073386
391,0.066536
392,0.060992
393,0.056751
394,0.05349
395,0.050881
396,0.048924
397,0.047619
398,0.046641
399,0.045988
400,0.045336
401,0.045336
402,0.04501
403,0.044684
404,0.044357
405,0.044357
406,0.044357
407,0.044684
408,0.04501
409,0.045336
410,0.045662
411,0.045988
412,0.046641
413,0.046967
414,0.047619
415,0.047945
416,0.048598
417,0.04925
418,0.049576
419,0.050228
420,0.050881
421,0.051533
422,0.052185
423,0.052838
424,0.05349
425,0.054142
426,0.054795
427,0.055447
428,0.055773
429,0.056425
430,0.057078
431,0.05773
432,0.058382
433,0.059035
434,0.059361
435,0.060013
436,0.060665
437,0.061318
438,0.06197
439,0.062296
440,0.062948
441,0.063601
442,0.063927
443,0.064579
444,0.064905
445,0.065558
446,0.065884
447,0.066536
448,0.066862
449,0.067515
450,0.067841
451,0.068167
452,0.068819
453,0.069145
454,0.069472
455,0.069798
456,0.07045
457,0.070776
458,0.071102
459,0.071755
460,0.072081
461,0.072733
462,0.073059
463,0.073712
464,0.074364
465,0.075016
466,0.075995
467,0.076647
468,0.077626
469,0.078278
470,0.079256
471,0.080235
472,0.081539
473,0.082518
474,0.083823
475,0.085127
476,0.086758
477,0.088063
478,0.089367
479,0.090998
480,0.092629
481,0.094586
482,0.096217
483,0.098174
484,0.10013
485,0.10241
486,0.10437
487,0.10665
488,0.10926
489,0.11187
490,0.11448
491,0.11709
492,0.12035
493,0.12329
494,0.12655
495,0.12981
496,0.1334
497,0.13731
498,0.14123
499,0.14514
500,0.14971
501,0.15395
502,0.15851
503,0.16341
504,0.1683
505,0.17352
506,0.17873
507,0.18395
508,0.1895
509,0.19537
510,0.20091
511,0.20711
512,0.21331
513,0.21918
514,0.22538
515,0.2319
516,0.23842
517,0.24527
518,0.25179
519,0.25897
520,0.26582
521,0.27332
522,0.28082
523,0.28865
524,0.2968
525,0.30496
526,0.31311
527,0.32159
528,0.3304
529,0.3392
530,0.34834
531,0.3578
532,0.36791
533,0.37802
534,0.38845
535,0.39922
536,0.40933
537,0.42042
538,0.43183
539,0.44423
540,0.45662
541,0.46902
542,0.48239
543,0.49543
544,0.50881
545,0.5225
546,0.53653
547,0.55088
548,0.56491
549,0.5786
550,0.59295
551,0.60665
552,0.62068
553,0.63372
554,0.64644
555,0.65851
556,0.67025
557,0.68167
558,0.69276
559,0.70385
560,0.71396
561,0.72374
562,0.73288
563,0.74234
564,0.75114
565,0.75962
566,0.7681
567,0.77658
568,0.78474
569,0.79224
570,0.80007
571,0.80789
572,0.81539
573,0.8229
574,0.83007
575,0.83627
576,0.84377
577,0.85127
578,0.85747
579,0.86464
580,0.87149
581,0.87867
582,0.88715
583,0.89367
584,0.90248
585,0.91096
586,0.91911
587,0.92727
588,0.93542
589,0.94292
590,0.9501
591,0.95793
592,0.96314
593,0.96836
594,0.97228
595,0.97717
596,0.98076
597,0.98271
598,0.98695
599,0.98793
600,0.99022
601,0.98826
602,0.98924
603,0.98924
604,0.98598
605,0.98402
606,0.97945
607,0.97489
608,0.96869
609,0.95923
610,0.94977
611,0.93803
612,0.92335
613,0.90541
614,0.88487
615,0.86073
616,0.83301
617,0.80267
618,0.76941
619,0.7319
620,0.69178
621,0.65068
622,0.60926
623,0.56849
624,0.52674
625,0.48663
626,0.44716
627,0.40868
628,0.37247
629,0.3379
630,0.30496
631,0.27528
632,0.24788
633,0.22179
634,0.19863
635,0.17808
636,0.15884
637,0.14155
638,0.1259
639,0.1122
640,0.099804
641,0.089041
642,0.079583
643,0.070776
644,0.062948
645,0.056099
646,0.049902
647,0.044684
648,0.039791
649,0.035225
650,0.031637
651,0.028376
652,0.025114
653,0.022505
654,0.020222
655,0.017939
656,0.015982
657,0.014351
658,0.013046
659,0.011742
660,0.010437
661,0.0094586
662,0.0084801
663,0.0078278
664,0.0068493
665,0.006197
666,0.0055447
667,0.0052185
668,0.0045662
669,0.0042401
670,0.0039139
671,0.0035877
672,0.0032616
673,0.0029354
674,0.0026093
675,0.0022831
676,0.0022831
677,0.0019569
678,0.0016308
679,0.0016308
680,0.0016308
681,0.0013046
682,0.0013046
683,0.00097847
684,0.00097847
685,0.00097847
686,0.00065232
687,0.00065232
688,0.00065232
689,0.00065232
690,0.00032616
691,0.00032616
692,0.00032616
693,0.00032616
694,0.00032616
695,0
696,0
697,0
698,0
699,0
700,0
