lambda,Absorbance
360,0.13199
361,0.13431
362,0.13685
363,0.13808
364,0.138
365,0.1373
366,0.1345
367,0.13398
368,0.13267
369,0.13075
370,0.13167
371,0.13381
372,0.14306
373,0.14824
374,0.1608
375,0.1659
376,0.17536
377,0.18098
378,0.18783
379,0.19095
380,0.19108
381,0.18993
382,0.18511
383,0.17788
384,0.16749
385,0.14654
386,0.13643
387,0.12257
388,0.096623
389,0.082776
390,0.071353
391,0.058952
392,0.051455
393,0.043616
394,0.040205
395,0.037898
396,0.033524
397,0.032857
398,0.031418
399,0.029568
400,0.029608
401,0.029728
402,0.027642
403,0.027896
404,0.027793
405,0.029601
406,0.030974
407,0.031277
408,0.031308
409,0.031312
410,0.03186
411,0.033204
412,0.033241
413,0.034988
414,0.034796
415,0.034679
416,0.036092
417,0.036536
418,0.036552
419,0.036572
420,0.036958
421,0.038434
422,0.038303
423,0.038118
424,0.039826
425,0.040001
426,0.040033
427,0.040024
428,0.040721
429,0.04185
430,0.041718
431,0.042835
432,0.043542
433,0.043403
434,0.044928
435,0.045248
436,0.045341
437,0.04521
438,0.047224
439,0.047001
440,0.04702
441,0.047019
442,0.047
443,0.046887
444,0.048257
445,0.048737
446,0.048763
447,0.048741
448,0.048728
449,0.048778
450,0.04877
451,0.050673
452,0.05046
453,0.050467
454,0.050463
455,0.050455
456,0.050437
457,0.050482
458,0.050694
459,0.052356
460,0.052188
461,0.052216
462,0.052005
463,0.054062
464,0.053886
465,0.053928
466,0.053952
467,0.053729
468,0.055769
469,0.055668
470,0.055562
471,0.057597
472,0.057438
473,0.057498
474,0.059181
475,0.060749
476,0.061265
477,0.062697
478,0.064502
479,0.067046
480,0.068097
481,0.068292
482,0.0697
483,0.071489
484,0.072087
485,0.073238
486,0.075329
487,0.077748
488,0.080182
489,0.082157
490,0.083229
491,0.085791
492,0.088258
493,0.090696
494,0.093055
495,0.096847
496,0.099864
497,0.1043
498,0.10633
499,0.1108
500,0.11425
501,0.11738
502,0.12172
503,0.1253
504,0.13033
505,0.13429
506,0.1383
507,0.14322
508,0.14814
509,0.15304
510,0.15773
511,0.16448
512,0.16753
513,0.17276
514,0.1775
515,0.18365
516,0.18863
517,0.19415
518,0.20062
519,0.2073
520,0.21072
521,0.21691
522,0.22562
523,0.2313
524,0.23546
525,0.24437
526,0.25062
527,0.25522
528,0.26715
529,0.274
530,0.28093
531,0.28949
532,0.30188
533,0.31064
534,0.32269
535,0.33145
536,0.33919
537,0.34934
538,0.35695
539,0.37021
540,0.38403
541,0.39154
542,0.40204
543,0.41646
544,0.42323
545,0.43743
546,0.44717
547,0.45906
548,0.4769
549,0.49299
550,0.49497
551,0.51321
552,0.51793
553,0.52936
554,0.54828
555,0.55788
556,0.56782
557,0.57525
558,0.58384
559,0.59172
560,0.60343
561,0.61304
562,0.61845
563,0.62503
564,0.64284
565,0.64708
566,0.65806
567,0.66629
568,0.67093
569,0.67985
570,0.6866
571,0.69783
572,0.70334
573,0.71055
574,0.72189
575,0.7284
576,0.73455
577,0.74323
578,0.75061
579,0.76055
580,0.77139
581,0.78781
582,0.7961
583,0.81
584,0.82379
585,0.82521
586,0.85396
587,0.85991
588,0.8775
589,0.88966
590,0.89799
591,0.91066
592,0.92952
593,0.94416
594,0.95568
595,0.96471
596,0.97353
597,0.98093
598,0.98695
599,0.9922
600,0.99634
601,0.99905
602,1
603,0.99886
604,0.9953
605,0.989
606,0.97974
607,0.96981
608,0.9575
609,0.94609
610,0.93956
611,0.90501
612,0.89346
613,0.86784
614,0.81759
615,0.80701
616,0.77839
617,0.73135
618,0.69155
619,0.64265
620,0.61476
621,0.57796
622,0.51882
623,0.47273
624,0.46619
625,0.39841
626,0.36704
627,0.3266
628,0.30703
629,0.28873
630,0.25384
631,0.21772
632,0.19483
633,0.17149
634,0.1444
635,0.14172
636,0.11971
637,0.1076
638,0.094574
639,0.083995
640,0.073775
641,0.06441
642,0.055245
643,0.047772
644,0.042616
645,0.038982
646,0.034459
647,0.030475
648,0.02631
649,0.023735
650,0.021174
651,0.018681
652,0.017129
653,0.015458
654,0.015028
655,0.012163
656,0.011776
657,0.010877
658,0.010037
659,0.0080825
660,0.007035
661,0.0064107
662,0.0056196
663,0.0045373
664,0.0045806
665,0.0045888
666,0.0045775
667,0.0045184
668,0.0047616
669,0.0029044
670,0.0047475
671,0.0045371
672,0.004528
673,0.0045259
674,0.0045179
675,0.0045101
676,0.0045033
677,0.0045046
