0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
353,0.10278,0.14733,0.14377,0.15506,0.19546,0.2008,0.20912,0.21447,0.21744,0.21981,0.21268,0.20199,0.18001,0.16872,0.16456,0.16278,0.16219
354,0.10278,0.14793,0.14496,0.15684,0.19783,0.20318,0.2115,0.21684,0.22041,0.22219,0.21447,0.20258,0.17942,0.16694,0.16219,0.15981,0.15981
355,0.10337,0.14852,0.14674,0.15922,0.20021,0.20556,0.21447,0.21981,0.22278,0.22516,0.21625,0.20377,0.17882,0.16516,0.15981,0.15743,0.15684
356,0.10337,0.14912,0.14793,0.161,0.20199,0.20793,0.21684,0.22219,0.22575,0.22754,0.21803,0.20437,0.17823,0.16397,0.15743,0.15446,0.15387
357,0.10337,0.14971,0.14912,0.16278,0.20437,0.2109,0.21981,0.22516,0.22813,0.22991,0.21981,0.20496,0.17763,0.16219,0.15506,0.15209,0.1509
358,0.10337,0.1503,0.1503,0.16516,0.20734,0.21387,0.22278,0.22813,0.2311,0.23229,0.22219,0.20674,0.17763,0.161,0.15268,0.14971,0.14852
359,0.10397,0.1509,0.15209,0.16694,0.21031,0.21684,0.22575,0.2317,0.23407,0.23585,0.22457,0.20793,0.17704,0.15922,0.1503,0.14793,0.14615
360,0.10397,0.15149,0.15328,0.16932,0.21268,0.21922,0.22872,0.23467,0.23704,0.23882,0.22635,0.20912,0.17763,0.15803,0.14852,0.14555,0.14377
361,0.10456,0.15209,0.15506,0.17169,0.21565,0.22278,0.2317,0.23764,0.24061,0.24179,0.22872,0.21031,0.17763,0.15743,0.14733,0.14377,0.14199
362,0.10456,0.15268,0.15625,0.17347,0.21863,0.22575,0.23526,0.2412,0.24417,0.24536,0.2317,0.21209,0.17763,0.15625,0.14555,0.14258,0.14021
363,0.10515,0.15387,0.15803,0.17585,0.221,0.22872,0.23823,0.24417,0.24714,0.24833,0.23407,0.21387,0.17823,0.15625,0.14436,0.1408,0.13902
364,0.10515,0.15446,0.15981,0.17823,0.22397,0.23229,0.24179,0.24774,0.25071,0.25189,0.23704,0.21565,0.17882,0.15565,0.14318,0.13961,0.13723
