0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
360,0.17482,0.17449,0.06621,0.06621,0.18037,0.20548,0.18167,0.17906,0.17221,0.1608,0.15134,0.13144,0.16275,0.1621,0.1608,0.16112,0.16014
361,0.17156,0.17254,0.065558,0.065558,0.182,0.20711,0.18395,0.18102,0.17482,0.16373,0.15427,0.13438,0.16667,0.16601,0.16471,0.16504,0.16406
362,0.16993,0.17254,0.065232,0.065232,0.18363,0.20874,0.18558,0.18297,0.17678,0.16569,0.15623,0.13633,0.16928,0.16862,0.16699,0.16765,0.16699
363,0.17123,0.17352,0.065558,0.065558,0.18461,0.20972,0.18624,0.18395,0.17776,0.16699,0.15753,0.13764,0.17058,0.16993,0.1683,0.16895,0.16797
364,0.17417,0.17547,0.06621,0.06621,0.18395,0.20907,0.18591,0.18363,0.17743,0.16699,0.15753,0.13764,0.17058,0.16993,0.1683,0.16862,0.16797
365,0.1771,0.17678,0.067189,0.067189,0.18232,0.20744,0.18395,0.18167,0.17613,0.16569,0.15623,0.13633,0.16895,0.1683,0.16699,0.16732,0.16667
366,0.17873,0.17645,0.067189,0.067189,0.17873,0.20385,0.18037,0.17841,0.17286,0.16308,0.15362,0.13372,0.16699,0.16667,0.16471,0.16536,0.16406
367,0.17645,0.17319,0.06621,0.06621,0.17384,0.19896,0.17547,0.17352,0.16928,0.16047,0.15101,0.13112,0.16504,0.16438,0.16308,0.16308,0.1621
368,0.1696,0.16667,0.063601,0.063601,0.16765,0.19276,0.16928,0.16797,0.16471,0.15786,0.1484,0.12851,0.16341,0.16308,0.16145,0.16177,0.1608
369,0.15819,0.15656,0.060013,0.060013,0.16047,0.18558,0.16243,0.16177,0.16014,0.15558,0.14612,0.12622,0.16308,0.16243,0.16112,0.16145,0.16047
370,0.14384,0.14449,0.055447,0.055447,0.15297,0.17808,0.15558,0.15558,0.1559,0.15395,0.14449,0.12459,0.16406,0.16373,0.16243,0.16275,0.16145
371,0.12753,0.13144,0.050228,0.050228,0.14579,0.17091,0.14873,0.14971,0.15232,0.15395,0.14449,0.12459,0.16732,0.16699,0.16536,0.16569,0.16504
372,0.1122,0.1197,0.045336,0.045336,0.13927,0.16438,0.14286,0.14481,0.15003,0.15492,0.14547,0.12557,0.17189,0.17189,0.17058,0.17058,0.16993
373,0.0985,0.10861,0.04077,0.04077,0.1334,0.15851,0.13796,0.1409,0.14905,0.15786,0.1484,0.12851,0.17906,0.17906,0.17743,0.17776,0.17678
374,0.086758,0.099478,0.037182,0.037182,0.12916,0.15427,0.13372,0.13829,0.14938,0.16243,0.15297,0.13307,0.18754,0.18787,0.18656,0.18689,0.18591
375,0.078278,0.092955,0.034573,0.034573,0.12622,0.15134,0.13144,0.13699,0.15068,0.16797,0.15851,0.13862,0.19733,0.19765,0.19635,0.19667,0.19569
376,0.071755,0.088063,0.032616,0.032616,0.12394,0.14905,0.13014,0.13666,0.15297,0.17417,0.16471,0.14481,0.20809,0.20841,0.20711,0.20776,0.20678
377,0.067189,0.084801,0.031311,0.031311,0.12264,0.14775,0.12916,0.13699,0.15558,0.18004,0.17058,0.15068,0.21787,0.21853,0.21689,0.21787,0.21657
378,0.063927,0.082518,0.030333,0.030333,0.12231,0.14742,0.12948,0.13764,0.15819,0.18526,0.1758,0.1559,0.22635,0.22701,0.22538,0.22635,0.22472
379,0.061644,0.081213,0.02968,0.02968,0.12231,0.14742,0.12981,0.13862,0.16047,0.18917,0.17971,0.15982,0.23222,0.2332,0.23157,0.23255,0.23125
380,0.060339,0.080887,0.029354,0.029354,0.12329,0.1484,0.13046,0.1396,0.1621,0.19145,0.182,0.1621,0.23516,0.23581,0.23451,0.23516,0.23418
381,0.059687,0.080887,0.029354,0.029354,0.12427,0.14938,0.13144,0.14057,0.16243,0.19113,0.18167,0.16177,0.23386,0.23483,0.2332,0.23418,0.23288
382,0.059687,0.081213,0.029354,0.029354,0.12557,0.15068,0.13275,0.14123,0.16112,0.18754,0.17808,0.15819,0.22798,0.22831,0.22701,0.22798,0.22668
383,0.059687,0.081866,0.02968,0.02968,0.1272,0.15232,0.13405,0.14123,0.15851,0.18102,0.17156,0.15166,0.21657,0.21689,0.21559,0.21657,0.21494
384,0.060339,0.082844,0.030007,0.030007,0.12916,0.15427,0.13503,0.14057,0.15427,0.17123,0.16177,0.14188,0.20059,0.20059,0.19928,0.19993,0.19896
385,0.060992,0.083823,0.030333,0.030333,0.13079,0.1559,0.13633,0.13992,0.14905,0.15949,0.15003,0.13014,0.18134,0.18069,0.17971,0.18004,0.17906
386,0.061644,0.085127,0.030985,0.030985,0.13242,0.15753,0.13699,0.13894,0.14318,0.14644,0.13699,0.11709,0.16047,0.15982,0.15917,0.15884,0.15786
387,0.062622,0.086432,0.031311,0.031311,0.13438,0.15949,0.13796,0.13796,0.13731,0.1334,0.12394,0.10404,0.1396,0.13862,0.13796,0.13764,0.13666
388,0.063601,0.087736,0.031637,0.031637,0.13633,0.16145,0.13927,0.13699,0.13177,0.12166,0.1122,0.092303,0.12068,0.11937,0.1184,0.1184,0.11709
389,0.064579,0.089041,0.03229,0.03229,0.13796,0.16308,0.14025,0.13666,0.1272,0.11155,0.10209,0.082192,0.10437,0.10274,0.10176,0.10176,0.10046
